"Timestamp","Wie alt bist du?","Als welches Geschlecht identifiziert du dich?","Welche Studienart verfolgst du?","Welcher Fakultät gehörst du an?","In welchem Studienabschnitt befindest du dich?","In welchem Semester bist du?","Welche Abschlüsse hast du bereits?","Hast du vorher schon etwas anderes studiert?","Fortsetzung zur Frage oben: Wenn nicht erster Studiengang, wie oft hast du schon studiert?","Wie finanzierst du aktuell dein Studium?","Wie viele Stunden pro Woche arbeitest du in Stunden?","Wie viel verdienst du im Monat (Brutto)?","Wirken sich deine Arbeitsstunden auf deine Studienleistung aus?","Bist du zufrieden mit der Work-Studien- Balance","HomeOffice","Flexible Arbeitszeiten","Kantine","Urlaubs-/Weihnachtsgeld","Obstkorb","Kostenlose Getränke","Betriebliche Vorsorge","Fortbildungskostenübernahme","Sonstige Zuschüsse","Bezahlter Fahrtweg ","Mitarbeiterrabatt","Work/Life Balance","Soziale Kontakte/ Freunde im Studium ","Investierte Stunden (in Stunden pro Woche) in Vorlesung (in Ziffern)","Investierte Stunden (in Stunden pro Woche) im Selbststudium (in Ziffern)","Zufriedenheit mit Resultaten (Bsp: Prüfungsergebnis)","Lerninhalte","Vorlesungsstruktur","Sprechstundenmöglichkeiten","Aktivitätsmöglichkeiten neben dem Studium","Lernumgebung (Ressourcen Bsp: Bibliothek, Lernmaterialien)","Stundenplan","Angebote zur beruflichen Orientierung","Wie würdest du die Bedeutung von Sport für deine allgemeine Gesundheit und dein Wohlbefinden einschätzen? ","Wie ist der Stellenwert von Sport in deinem Leben?","Wie viel Geld gibst du aktuell im Monat für deine sportlichen Aktivitäten aus ? (auf ganze Euro gerundet, Bsp.: 25)","Was motiviert dich am meisten, Sport zu treiben? (Mehrfachauswahl möglich)","Welche Hindernisse hindern dich daran, regelmäßig Sport zu treiben?  (Mehrfachauswahl möglich)","Wie schätzt du dein allgemeines Fitnessniveau in Bezug auf Ausdauer im Vergleich zu anderen Studenten deines Geschlechts ein?","Wie schätzt du dein allgemeines Fitnessniveau in Bezug auf Kraft im Vergleich zu anderen Studenten deines Geschlechts ein?","An wie vielen Tagen machst du Kraftsport in der Woche?","Wie viele Stunden machst du Kraftsport in der Woche? (in Zahlen und nur halbe oder ganze Stunden, Bsp.: 4,5)","An wie vielen Tagen gehst du Laufen in der Woche?","Wie viele Stunden gehst du Laufen in der Woche?  (in Zahlen und nur halbe oder ganze Stunden, Bsp.: 4,5)","An wie vielen Tagen betreibst du Ballsport in der Woche?","Wie viele Stunden betreibst du Ballsport in der Woche?  (in Zahlen und nur halbe oder ganze Stunden, Bsp.: 4,5)","An wie vielen Tagen machst du sonstigen Sport in der Woche?","Wie viele Stunden sonstigen Sport machst du in der Woche?  (in Zahlen und nur halbe oder ganze Stunden, Bsp.: 4,5)","Welchen sonstigen Sport machst du?"
"2024/05/06 9:59:00 AM GMT+3","20","weiblich","Vollzeit","Wirtschaftsingenieurwesen","Bachelor","4","Abitur","Nein","","Bafög","","kein Einkommen","","","4","4","5","5","5","5","5","5","5","5","5","2","4","20","25","2","1","1","1","4","2","1","2","5","4","35","Gesundheit und Fitness;Stressabbau und Entspannung;Aussehen (Ästhetik)","Zeitmangel;Kosten (z.B. Mitgliedschaft im Fitnessstudio)","3","4","4","4","3","3","0","","0","",""
"2024/05/06 9:59:14 AM GMT+3","24","männlich","Vollzeit","Wirtschaftsingenieurwesen","Bachelor","4","Abitur","Nein","","Eltern/Familie","0","kein Einkommen","1","3","4","5","2","5","1","1","4","3","4","4","4","2","5","21-22 Stunden","10","2","2","3","4","5","4","1","4","1","1","0","Nichts","Zeitmangel;Mangel an Motivation;Kosten (z.B. Mitgliedschaft im Fitnessstudio)","1","2","0","0","0","0","0","0","","0","0"
"2024/05/06 9:59:25 AM GMT+3","23","männlich","Vollzeit","Wirtschaftsingenieurwesen","Bachelor","6","Abitur","Ja","2","Mini/Midijob","10","kleiner gleich 520€","3","5","4","4","1","3","2","4","3","5","5","5","4","5","3","24","12","2","2","3","2","3","3","2","2","4","4","10","Gesundheit und Fitness;Aussehen (Ästhetik)","Zeitmangel;Mangel an Motivation","4","3","0","0","0","0","0","0","1","1","Schwimmen "
"2024/05/06 9:59:58 AM GMT+3","23","weiblich","Vollzeit","Wirtschaftsingenieurwesen","Bachelor","3","Fachabitur","Nein","","Werkstudentenstelle;Selbstständig","20","851 - 1.100€","5","5","5","5","5","5","1","5","5","5","3","3","1","5","3","20","10","4","2","3","1","5","3","4","2","5","4","59","Gesundheit und Fitness;Gewichtsmanagement;Stressabbau und Entspannung;Spaß und Freude an der Bewegung;Aussehen (Ästhetik)","Zeitmangel","3","4","4","1","3","3","0","0","1","1","pilates oder yoga"
"2024/05/06 10:00:53 AM GMT+3","21","männlich","Vollzeit","Wirtschaftsingenieurwesen","Bachelor","6","Abitur","Nein","","Eltern/Familie","","851 - 1.100€","","","5","5","4","5","4","4","5","5","5","5","5","1","2","12","4","3","2","2","1","2","1","2","2","3","3","","Stressabbau und Entspannung;Soziale Interaktion (z.B. mit Freunden Sport treiben);Spaß und Freude an der Bewegung;Nichts","Zeitmangel;Mangel an Motivation","3","3","0","","6","5","0","","0","",""
"2024/05/06 10:01:06 AM GMT+3","22","männlich","Vollzeit","Wirtschaftsingenieurwesen","Bachelor","6","Abitur","Nein","","Stipendium","","1.101 - 1.400€","","","3","3","5","5","2","3","3","3","3","3","5","5","2","18","10","3","3","3","4","3","3","3","2","5","3","","Stressabbau und Entspannung;Spaß und Freude an der Bewegung","Zeitmangel;Mangel an Motivation","2","2","2","","","","","","","",""
"2024/05/06 10:04:45 AM GMT+3","25","männlich","Vollzeit","Wirtschaftsingenieurwesen","Bachelor","4","Mittlere Reife;Abgeschlossene Berufsausbildung;Abitur","Nein","","Mini/Midijob;Eltern/Familie","5","kleiner gleich 520€","2","2","3","5","4","3","4","4","5","5","3","3","2","2","4","16","10","1","2","2","1","1","1","3","1","4","3","50","Gesundheit und Fitness;Stressabbau und Entspannung;Spaß und Freude an der Bewegung","Zeitmangel","4","2","0","0","3","2,5","0","0","1","2","Rennrad fahren"
"2024/05/06 10:05:18 AM GMT+3","30","weiblich","Vollzeit","Wirtschaftsingenieurwesen","Bachelor","4","Bachelor;Master","Ja",">5","Werkstudentenstelle","18","851 - 1.100€","3","2","3","4","1","4","3","4","5","4","3","3","3","2","6","20","10","3","2","1","2","2","1","1","1","4","3","27","Gesundheit und Fitness;Gewichtsmanagement;Stressabbau und Entspannung;Spaß und Freude an der Bewegung;Aussehen (Ästhetik)","Zeitmangel","3","2","3","4,5","3","2","0","0","0","0","Schwimmen, Volleyball, Badminton"
"2024/05/06 10:06:39 AM GMT+3","28","männlich","Vollzeit","Wirtschaftsingenieurwesen","Bachelor","4","Abgeschlossene Berufsausbildung;Abitur","Ja","2","Werkstudentenstelle","16","1.101 - 1.400€","3","3","5","4","5","5","1","3","3","3","2","2","3","3","5","20","15","3","2","2","3","1","5","2","1","2","2","Keins, Sport kann man, sobald man ein gutes Trainingsprogramm gefunden hat selbst gut umsetzen.","Gesundheit und Fitness;Stressabbau und Entspannung;Spaß und Freude an der Bewegung","Zeitmangel;Gesundheitliche Einschränkungen","3","3","0","","0","","0","","0","",""
"2024/05/06 10:07:52 AM GMT+3","43","weiblich","Vollzeit","Wirtschaftsingenieurwesen","Bachelor","6","Bachelor","Ja","2","Selbstständig","30","kein Einkommen","5","6","4","2","3","1","5","3","1","2","1","1","1","4","1","30","6","4","2","3","5","3","3","4","3","3","2","0","Gesundheit und Fitness;Spaß und Freude an der Bewegung","Mangel an Motivation","2","2","0","0","0","0","1","2","2","8","Spaziergang "
"2024/05/06 11:33:42 AM GMT+3","28","männlich","Dual","Elektro und Informationstechnik","Master","4","Abitur;Bachelor","Ja","2","Duali","20","2000 - 2500€","5","2","5","5","3","4","2","5","5","5","4","4","2","3","4","8","30","5","3","3","2","3","1","1","3","4","3","50","Gesundheit und Fitness;Stressabbau und Entspannung;Soziale Interaktion (z.B. mit Freunden Sport treiben);Spaß und Freude an der Bewegung","Zeitmangel","3","3","2","4","0","0","2","4","0","0","keine"
"2024/05/06 12:51:51 PM GMT+3","23","männlich","Vollzeit","Business School","Bachelor","2","Fachabitur","Ja","2","Mini/Midijob;Eltern/Familie","6","kleiner gleich 520€","2","6","4","4","5","4","5","5","5","5","4","5","5","4","2","6","7","4","4","4","3","2","1","2","2","3","3","0","Nichts","Zeitmangel","2","2","2","0,8","1","2","0","","0","",""
"2024/05/07 9:32:35 AM GMT+3","26","weiblich","Vollzeit","Wirtschaftsingenieurwesen","Bachelor","2","Mittlere Reife;Abgeschlossene Berufsausbildung;Meister","Nein","","Teilzeit","20","2000 - 2500€","4","4","3","4","3","4","3","3","4","3","3","2","2","4","4","18","10","4","3","3","3","3","3","3","3","3","3","10","Gesundheit und Fitness;Spaß und Freude an der Bewegung","Zeitmangel","3","2","0","0","3","0","0","0","2","3","schwimmen/spazieren gehen"
"2024/05/07 12:29:42 PM GMT+3","22","männlich","Vollzeit","Business School","Bachelor","4","Fachabitur","Ja","","Teilzeit","20","851 - 1.100€","5","1","5","5","5","5","5","5","5","5","5","5","5","1","1","30","20","1","3","3","3","3","3","4","4","3","3","","Gesundheit und Fitness;Soziale Interaktion (z.B. mit Freunden Sport treiben)","Zeitmangel","3","3","0","","6","","0","","0","",""
"2024/05/07 1:25:12 PM GMT+3","22","weiblich","Vollzeit","Wirtschaftsingenieurwesen","Bachelor","6","Mittlerer Schulabschluss;Mittlere Reife","Nein","","Teilzeit;Eltern/Familie","20","851 - 1.100€","5","2","5","5","1","5","1","5","5","5","5","5","5","4","3","50","20","2","1","2","1","1","3","2","2","4","4","30","Gesundheit und Fitness;Gewichtsmanagement;Stressabbau und Entspannung;Spaß und Freude an der Bewegung","Mangel an Motivation;Kosten (z.B. Mitgliedschaft im Fitnessstudio)","3","3","3","5","2","4","0","0","0","0","nix"
"2024/05/07 2:28:17 PM GMT+3","22","männlich","Vollzeit","Maschinenbau","Bachelor","6","Fachabitur","Nein","","Eltern/Familie","","kein Einkommen","4","","2","4","4","4","3","4","4","4","4","4","5","5","6","15","5","4","5","4","3","5","4","5","3","5","4","","Gesundheit und Fitness;Stressabbau und Entspannung;Soziale Interaktion (z.B. mit Freunden Sport treiben);Spaß und Freude an der Bewegung","Zeitmangel;Mangel an Motivation;Gesundheitliche Einschränkungen","3","3","3","4","1","1","1","2","1","1","Gym"
"2024/05/07 2:44:40 PM GMT+3","22","männlich","Vollzeit","Maschinenbau","Bachelor","6","Abitur","Nein","","Werkstudentenstelle;Eltern/Familie","14","521 - 850€","4","3","5","5","4","5","4","5","4","5","4","4","5","5","5","15","15","1","2","3","3","5","4","3","2","5","4","0","Stressabbau und Entspannung;Soziale Interaktion (z.B. mit Freunden Sport treiben);Spaß und Freude an der Bewegung","Zeitmangel","3","3","1","1","0","","2","2","0","",""
"2024/05/16 5:50:03 PM GMT+3","23","männlich","Berufsbegleitend","Wirtschaftsingenieurwesen","Bachelor","","Abitur","Nein","","Werkstudentenstelle","15","851 - 1.100€","5","3","3","5","3","5","5","5","5","5","5","5","5","4","6","20","10","3","3","3","3","3","3","4","2","2","4","30","Stressabbau und Entspannung","Zeitmangel","3","3","2","6","2","2","4","2","2","4.5","Nö"
"2024/05/16 5:52:19 PM GMT+3","26","weiblich","Vollzeit","Wirtschaftsingenieurwesen","Bachelor","4","Fachabitur","Ja","2","Eltern/Familie","10","kleiner gleich 520€","1","1","1","1","1","1","1","1","1","1","1","1","1","1","7","15","15","2","1","1","1","1","1","1","1","5","2","35","Gesundheit und Fitness","Zeitmangel;Mangel an Motivation","1","1","0","0","","0","0","0","0","0",""
"2024/05/16 5:52:34 PM GMT+3","22","männlich","Vollzeit","Wirtschaftsingenieurwesen","Bachelor","6","Abgeschlossene Berufsausbildung;Fachabitur","Nein","","Mini/Midijob","","521 - 850€","4","4","4","4","5","5","1","1","1","3","4","2","1","2","5","10","2","2","3","3","5","2","3","2","1","5","5","50€","Gesundheit und Fitness;Stressabbau und Entspannung","Zeitmangel","4","4","2","2","0","","","","","",""
"2024/05/16 5:53:26 PM GMT+3","23","weiblich","Vollzeit","Maschinenbau","Bachelor","8","Abitur","Nein","","Eltern/Familie","0","521 - 850€","","","3","5","3","5","2","3","4","5","4","3","2","2","5","9","18","4","3","4","3","2","4","2","2","4","5","50","Gesundheit und Fitness;Gewichtsmanagement;Stressabbau und Entspannung;Soziale Interaktion (z.B. mit Freunden Sport treiben);Wettbewerb und Leistungssteigerung;Spaß und Freude an der Bewegung;Aussehen (Ästhetik)","Mangel an geeigneten Einrichtungen oder Angeboten","4","5","2","1,5","3","2","0","0","5","10","Schwimmen"
"2024/05/16 5:53:28 PM GMT+3","23","männlich","Vollzeit","Wirtschaftsingenieurwesen","Bachelor","6","Fachabitur","Nein","","Werkstudentenstelle;Mini/Midijob","18","851 - 1.100€","4","2","4","5","1","1","1","1","1","4","1","1","1","2","6","12","5","2","3","5","1","3","3","3","3","5","5","55","Gesundheit und Fitness;Gewichtsmanagement;Soziale Interaktion (z.B. mit Freunden Sport treiben);Aussehen (Ästhetik)","","5","3","3","3","3","1","3","5","0","0","0"
"2024/05/16 5:53:32 PM GMT+3","27","Apace Kampfhubschrauber","Vollzeit","Wirtschaftsingenieurwesen","Bachelor","4","Mittlere Reife;Abgeschlossene Berufsausbildung;Fachabitur","Nein","","Werkstudentenstelle;Eltern/Familie;Kapitalerträge","15","851 - 1.100€","5","6","5","5","2","3","1","5","1","2","3","3","2","6","3","11"," 5","4","3","4","4","2","2","1","4","1","1","0","Nichts","Zeitmangel;Mangel an Motivation;Kosten (z.B. Mitgliedschaft im Fitnessstudio)","5","5","0","0","0","0","0","0","0","0","Brawl Stars"
"2024/05/16 5:58:20 PM GMT+3","22","männlich","Vollzeit","Maschinenbau","Bachelor","6","Abitur","Ja","2","Eltern/Familie","","kein Einkommen","3","2","4","4","3","3","3","3","3","4","4","3","3","2","5","15","15","2","2","2","2","1","2","2","2","4","4","48","Gesundheit und Fitness;Wettbewerb und Leistungssteigerung","Zeitmangel","4","4","2","3","0","0","0","0","2","3,5","Gesellschaftstanz"
"2024/05/16 5:58:54 PM GMT+3","26","weiblich","Vollzeit","Wirtschaftsingenieurwesen","Bachelor","4","Mittlere Reife;Abgeschlossene Berufsausbildung;Fachabitur","Nein","","Werkstudentenstelle;Selbstständig","20","1.101 - 1.400€","4","2","5","5","4","5","1","3","4","5","5","5","5","5","3","30","40","4","3","4","2","3","4","3","3","5","4","80","Gesundheit und Fitness;Gewichtsmanagement;Stressabbau und Entspannung;Spaß und Freude an der Bewegung;Aussehen (Ästhetik)","Zeitmangel","2","4","3","9","0","0","0","0","3","4","Kampfsport "
